,clean_text,sentiment
52,i left theater almost speechless i went pretty high expectations as person i really know expect mcu since really first time introducing type culture character franchise seeing met expectations cinematography lore chinese mythology action i hope film gets hype deserves ties bigger mcu leaves mystery anticipation,V.Positive
53,this movie whole time i awe everybody theater do read anything watch worth time money everything marvel outdid this phase people directing fantastic editing fantastic cg fantastic soundtrack my expectations surpassed i recommend everyone,V.Positive
54,overall pretty bland movie the plot uninteresting boring there many fight scenes think most characters lot personality and shang girlfriend incredibly moments though there certain character brought fun scenes definitely one lower tier marvel movies still worth watching,V.Positive
55,i saw legend ten rings starring simu kung fu cops the next level ocean eight tony grandmaster hard boiled michelle trek mechanic first asian marvel super hero movie based well i grew loving master kung fu martial arts aspect still original comic books fyi originally bruce lee paul artist drew look like bruce lee they also made political origin story originally son fu manchu racially insensitive character but changed son the mandarin old iron man villain in comics the mandarin rings fingers changed rings forearms these rings shoot energy force bolts tony also calls evil organization ten rings simu plays tony mandarin in origin story learn caused estrangement tony wanting badly reconnect awkwafina plays simu best friend tags along simu adventures glimpses past present lots fantastic martial michelle play simu aunt if like the eagles probably enjoy connection california there several cameos including couple avengers as end credits start scene another one end leave rated action violence language running time hours really enjoyed movie would buy,V.Positive
56,some best action scenes yet great backstory character development one best mcu villians yet overall refreshing enjoyable,V.Positive
57,the fight scenes creature designs set absolutely amazing overall story sort slow visually stunning yet i could help feel bit overrated it also felt less connected mcu marvel films first abomination cameo felt place,V.Positive
58,when movie first started i felt like i watching foreign film no english chinese english subtitle did know expect movie then later casts started speaking english awesome fighting scenes kicked omg how the fighting choreography unbelievable just good jackie chan movies the storyline alright cg good they used lots chinese culture tradition costume symbols looking forward see next sequel,V.Positive
59,i agree another reviewer probably least marvel marvel movies had edited certain effect one would able discern marvel background story obviously way i felt like tony leung stole bit show it anguish drives film without would conflict shang seeing tony onscreen many years makes want go tony leung marathon least watch he always good conveying emotion without yeoh small part film always kicks ass less plays exact role played recent gunpowder milkshake older wise liu awkwafina good chemistry film i actually felt like characters otherwise little bit flat much time spent character development or least character shang alot time devoted flashbacks little time spent simu present day fleshing character they seem like would fun people hang awkwafina vital plot moment otherwise little presence small comedic moments maybe cute i need find stuffed animal the special effects fun watch plot bit simplistic usually marvel films it serviceable enough film starts fall apart last film fantastical elements show certain things happen quite make sense least i worked make sense the fantasy elements quite work well watching fight choreography earlier parts film interesting good time great prelude labor day weekend,V.Positive
60,marvel sneaky sobs nothing i mean nothing turn hands i first admit i sceptical really amounts glorified kung fu movie finding place mcu i need worried shang chi sits right best marvel liu ever wonderful akwafina make fantastic duo addition queenly michelle yeo wonderful tony leung icing cake it exciting adventurous fun so go see definitely wo regret,V.Positive
61,oh coregraphy fights landscape colors the story script previsible good sometimes something classic always though marvel universe movies less fight reunited classic hong kong movies john woo toughs listened easely fight based mcu movies great time great subjects editing preferred one globally black widow see live expecting even,V.Positive
62,this movie reminds old kung fu movies jackie chan bruce lee the fight sequences extremely well shot choreographed wenwu might one best villains mcu simu liu charismatic actor i hoping gets sequel definitely recommend everyone give movie watch,Positive
63,a dazzling visual special effects phenomenon brought acting fight scenes story telling together bring us one top marvel movies deserved big screen i wanted great exceeded expectations well done involved kevin feige super power must bring people together letting story without controlling every aspect production,V.Positive
64,so enjoyed movie lot stunning cgi cinematography i liked cast circus,V.Positive
65,the plot extremely entertaining twists turns the spectacular the characters extremely well written depth unlike marvel movies a must watch marvel fans,V.Positive
66,if enjoy reading thoughts please follow blog read full review legend ten rings became one absolute favorites entire mcu destin daniel cretton delivers movie arguably best action ever seen cinematic universe through outstanding mix long takes impressive fighting choreography stunt work simu liu shines martial arts skills also tackling identity issues protagonist marvel gains yet another emotionally compelling antagonist well relatable female character embodies many elements culture despite overreliance unnecessary excessive exposition devices narration flashbacks foreshadowing story behind tales legends never loses interest from breaking stereotypes remarkable depiction culture asian viewers certainly love film even i phase four remarkable start rating,V.Positive
67,it extremely generic made passion soul it another super generic origin story main character basically invincible beats bad guy saves day could later join endgame style movie,V.Positive
68,one best origin mcu films good story great complex family relationships identity good balance action comedy really good fight scenes between simu liu awkwafina tony leung difficult decide best acting really strong around also mention ben kingsley always funny the best thing i say duration even feel like mcu negatives again much cgi it huge problem marvel disney use green screen almost every scene i like cgi seriously scenes would look much better practical effects others would look way better shot location,V.Positive
69,this one mcus finest vfxs best story best direction amazing movie full adventure a must watch,V.Positive
70,the reason i like movie much movie easy understand the jokes fine cgi amazing and different marvel movies and simu liu amazing actor played role amazingly,V.Positive
71,overall geared towards people marvel dirty i loved would highly recommend seeing film theatres visually stunning fantastic fight scenes great story emotionally driven due one many lulls perhaps slight bit long length overall i teen i loved watching asian films crouching tiger hidden dragon house flying daggers this film great martial arts fighting sequences aforementioned films i felt like i kid enjoying something fresh new i also fully enjoyed combination mandarin apologies wrong english a movie subtitles always reminds bubble north american acting great michelle yeoh one stole show end day again reminded good old days martial arts movies depended actors make things believable instead lots watch virtually zero marvel movies iffy whether watch stop enjoying film it funny action packed appear culturally inappropriate the acting great length film little long still two credits scenes make sure time sit show,V.Positive
72,this movie surprised good way i expecting flop honestly great the action storyline together made marvel really good job one met expectations,V.Positive
73,good certain moments and moments,V.Positive
74,the story the acting ok fighting scenes kinda meh ok story messed really bad really bad bad movie marvel holding hands thor captain marvel reviews definitely bought,V.Negative
75,not worth watching wasting money some obvious fanboys trying hype good if like actual martial arts movies would recommend older stuff,V.Positive
76,one best action movies till advice dc fans stay away giving negative rating jealousy if hate marvel much stick dc comics movies avoid giving false reviews ratings marvel gon na bring marvel,V.Positive
77,i wo say believe review watch it worth money time this movie every thing wanted see origin movie really strong main villain awesome secondary villains nice back story star fighting scene vfx villains phase iron man andnhulk magic mystic humor emotion right proportion chery top cake post credit mid credit,V.Positive
78,a marvel legend risen took years become overnight sensation kim convenience star simu liu breathes life title character changed birth name stretch want found estranged dad xu wenwu otherwise known the mandarin played tony leung first american film rings ringo starr i say guy loves awkwafina bff shaun goes way avoid bringing back dead wisecracking crazy rich asian girlfriend intent getting gig back tweeted marvel fu fans solid hour plus fight spectacular stop long draw movie never gets action adventure fantasy rolled one thrill ride straight marvel kind half expected singer limahl crank never ending story final act epic movie thanks one legendary creatures hiding mythical village unlike classic lost horizon maker bmw clearly product placement deal producer kevin driven crushed smashed every automobile director destiny daniel cretton best known just mercy the glass castle marvellous job screen play screen story helped write based source material marvel comics steve engelhart jim movie idea floating around since late stan lee wanted bruce lee son brandon play lead plan fell actually played huge part movie finally produced despite world war c best attempt shut michelle yeoh plus aussies ronnie chieng lynette curran lydia sarks toyota commercials hilarious flight good marvel movies easter egg worth waiting cinema lights come curtains close big like movie review mention title till final frame shang chi legend ten rings favour take family see film marvel cinematic universe full surprises first asian leading superhero protagonist,V.Positive
79,made account write review by far one best mcu movies far amazing action cinematography acting combined one best origin stories recent superhero watch it you wo regret,V.Positive
80,without doubt best action sequences marvel film best action scenes one best marvel films also a great story great acting loved film,V.Positive
81,the action definitely carried movie the fight scenes great but writing bit weak final fight monsters kind boring overall good fun best piece marvel entertainment since endgame,V.Positive
82,i loved aesthetics movie score acting story one strongest marvel films i seen long time,V.Positive
83,the marvel universe excelled pure pure brilliance so good,V.Positive
84,throw expectations based marketing promotional material away this movie fantastic yes focused asian culture no forced it actually fighting choreography fantastic you like martial arts movies martial arts general go see music great the humour great actors cool ben kingsley great cameo the story cool the ten rings blow mind two post credit scenes blow mind great black widow felt like another movie marvel formula movie great surprises worlds fun go see theaters wait arrive disney plus option the visuals,V.Positive
85,this film breaks marvel mold action fantasy aspects you ca prepare see screen just fantastic every way,V.Positive
86,from opinion good amazing start new phase also considered real start movie better black widow spider man far home also movie makes us happy ca wait movies going released like eternals spider man way conclude movie good start new phase big applause visual effects cgi team i hope new movies coming soon movies better better,V.Positive
87,i going much fate movie got proven wrong its something quite fresh unexpected scenes first minutes bit weak could preformed better last hour absolute best could gone details rings might want rethink cast next time the music hand okay final battle music stood the cameos crazy i give full points hair makeup department costume designs costumes awesome the movie try hard best need already pretty good marvel,V.Positive
88,movie amazing the best movie mcu better endgame jorge es mierda,V.Positive
89,film great overrall story know way told engaging emotional first thing loved movie action sequence every action scene damn good the soundtrack amazing the characters well written even smaller role kinda memorable vfx great high standards final climax messy notable two credits scenes dont miss it meant entertainment cant wait mcu movies,V.Positive
90,tony leung fala chen standouts movie humble opinion something performances struck chord two really got moviethe movie fun ride cool shots set pieces also suffers boring fights time got kind gritty parts liu awkwafinas relationship felt little manufactured first like chemistry got better movie went along maybe first scenes together among first shot the cgi best places painfully obvious added cg kind need practical effect prop could used something mcu well thing i really really liked fact chinese spoken i anticipated always ruins everyone speaks english one another even case chinese whatever setting may despite fact chinese spoken i anticipated also whole lot english spoken solely characters native english speakers for example wenwu final fight two americans around,V.Positive
91,legend ten rings visual masterpiece marvel made beautiful picture also finally worked staging battles the film original while watching dive much possible chinese culture enjoy mythical animals completely forget watching movie mcu remembering hear reference see cameo character plot simple straightforward without single plot twist purely fairy humor good overall apart couple katie little turned little faded lost background everything happening but scenes one amuse lot,V.Positive
92,imagine movie well timed jokes action pacing sequences crossed magical world asian mythology kung fu got,Negative
93,everything right it really mulan live action mulan tried comedy suspense amazing martial arts female heroines course went expecting like i pleasantly gotten henry golding role movie would,V.Positive
94,amazing personality amazing personality amazing personality character funny i love character i love marvel heroes thanks marvel,V.Positive
95,i going expecting film decent but better i thought the film unbelievably good exciting a lot culture amazing martial arts a must see film,V.Positive
96,legend ten rings latest inspired film studios daniel destin crettin film stars simu liu canadian television kim convenience title character known shaun beginning narrative works valet san francisco hotel carefree best friend katy nora awkwafina lum seemingly okay eking earning living shaun life changes receives mysterious postcard the next day group hitmen attack bus forcing reveal potent martial arts shaun born wenwu veteran chinese cinema star tony leung crime boss china whose career literally lasted centuries thanks mysterious set rings worn around lower arms grant magic powers including apparently immortality shang chi mother ying li fala chen resident mysterious magical chinese city think black panther wakanda possessing martial arts skills convinced wenwu temporarily leave behind crime empire start family it last leading family tragedy shang exile plot wenwu insistence bringing shang sister xialing menger zhang back family fold collectively find entrance mystic city conquer inhabitants reunite ying li wenwu insists whispers beyond grave shang xialing want nothing father criminal empire wenwu brutality convince film takes dramatic liberties original source material part legally necessary comic book shang chi father originally yellow peril villain fu manchu officially owned sax rohmer estate additionally original comics posed shang agent great britain mostly british supporting cast including someone playfully would refer shang ethnic slur all backdrop wisely eschewed new set allies adversaries katy provides comic relief audience as child immigrants also highlights vantage point someone americanized bristles old school values customs striggles fulfill pathway liu gives solid journeyman performance shang chi he handles action well dramatic comedic components still something role exposition viewers mainly get see younger life action well choreographed including scenes combat courtship alike nods fantasy physics never egregiously outlandish the film also beautiful cinematography courtesy bill pope cinematography credits include matrix first three films fully realized performance tony leung gets portray villain typically featured comic book movies there solid supporting roles played michelle yeoh sir ben climax film filled wonders including creatures sorts fights army legions this get dizzying layperson may overwhelming viewers but overall narrative film takes place independent particular marvel cinematic universe coda links greater marvel pantheon this film enjoyed without watching avengers remains seen whether legend ten rings makes shang chi character household name alongside captain america iron man rest worthy entry current phase marvel movie saga,V.Positive
97,the charm movie comes setting main characters showing reflection today world asian culture way life west creates environment searching one identity place meet simu liu first a young adult trying navigate life far away family city san francisco his partner crime best female friend katy awkwafina liu character arc film significant although makes solid protagonist character development de minimis awkwafina contrast steals film ordinary person caught epic power struggle her trademark zingers bemused quips make perfect foil escapist superhero world thrust mandarin tony leung subtly effective marvel villain compelling family backstory cinematic antagonist idealism righteous sense purpose since bill butcher gangs new york yeoh aunt jiang nan great fighting scenes stand wonderful performance crouching tiger hidden dragon overall movie great fighting scenes extraordinary effects especially flying dragons delightful watch highly recommended everyone likes superheroes touch mysterious fairytales,V.Positive
98,enjoyed every action scene must watch big screens,V.Positive
99,part with no spoilers this film absolutely amazing almost every aspect film perfect smashed expectations took place one best marvel films films i visual effects movie fabulous plenty captivating scenes astounding usage modern technology the cinematography probably one best i seen film kept captivated toes entire time i also noticed light used make scenes even captivating something always see dialogue solid feel clunky wierd jokes well spaced gave muscles rest action perfectly filmed beautiful felt like dancing the choreography story nothing unexpected pretty much generic origin story worry take away film and lastly villain one interesting aspects film made feel gave interesting charachter motive i felt villain much long there two post credit scenes stay with spoilers and i wanted say i loved return trevvor slattery it surprise something managed keep trailers hilarious especially played dead also i like fact wong played role film scenes interesting the post credit scenes set sequel i interested see ca wait find sister rings calling,V.Positive
100,an incredible mcu film it offers nothing cerebral main focus film the comedy action themes choreography vibrant visuals make film standout among similar standalone marvel films layered truly epic soundtrack finishing touch while effects pacing perhaps could little polished final battle weaknesses colourful emotional fun rollercoaster film tony leung far standout member cast delivering captivating even sympathetic villain simu liu holds needs time really shine new marvel zhang awkwafina fala chen integral film effectiveness overall fun touching movie exemplar formula strengths,V.Positive
101,an absolut entertainment funny emotional action packed acting good direction editing good techniqualities good al last powerful origin story,V.Positive
102,it awesome movie i want thanks marvel,V.Positive
103,marvel started new era interesting old fans attract attention new audience the film director deston creton good job perfectly selected cast actors done tasks they understand characters clearly convey emotions gorgeous costumes joel west soundtracks chinese motives aptly create atmosphere magical world seen i wo say anything bad script either i mantion plot holes bonus good jokes touching sometimes tragic family story bill pope balanced shots amazing special effects definitely reached new level also go film pluses a special tribute director fights andy chang clear movements dynamic music make scenes real spectacle this film worth rating,V.Positive
104,another great entertaining experience similar gone format formula works well i enjoyed film lot the asian style presentation beautiful showing plenty folklore style modern traditional settings the presentation stylish special effects superb martial arts fight scenes fast exciting the plot good focusing human family side characters rather magical sets good intrigue continuation mcu the acting good although comic relief cute character change things also spoiled bit made slow middle section drag even the ending pretty grand epic i felt could better,V.Positive
105,i worried movie would bust so much better black widow and great fight scenes though favorite marvel movie time i huge marvel fan i found decent action movie pretty good plot marvel origin the mandarin freaking amazing best acting i seen marvel movie far best actor movie akwafina surprised i thought odd casting choice simu great chemistry set also shout wong og asian marvel see movie,V.Positive
106,marvel make awesome file and thier stories character deep vfx wow i love movie,V.Positive
107,shang chi legend rings delivers majestic adrenaline filled experience incorporating perfect formula marvel film great plot action comical relief flirting love interest all displayed effectively there never dull moment this one better origin stories within marvel universe giving us different cultural approach be prepared see couple cameos hard hitting marvel marvel fans one if love action displayed beautifully movie go theaters watch one,V.Positive
